totalIterations;numWorkers;Duree;Pi;Error
10000000;1;859;3.1412092000;-0.0003834536
10000000;1;874;3.1417528000;0.0001601464
10000000;1;804;3.1413992000;-0.0001934536
10000000;1;772;3.1418704000;0.0002777464
10000000;1;728;3.1411364000;-0.0004562536
10000000;1;753;3.1414412000;-0.0001514536
10000000;1;820;3.1416416000;0.0000489464
10000000;1;782;3.1422196000;0.0006269464
10000000;1;758;3.1414628000;-0.0001298536
10000000;1;752;3.1409336000;-0.0006590536
10000000;1;739;3.1414964000;-0.0000962536
10000000;1;747;3.1410412000;-0.0005514536
10000000;1;761;3.1414856000;-0.0001070536
10000000;1;766;3.1420104000;0.0004177464
10000000;1;775;3.1411536000;-0.0004390536
20000000;2;4171;3.1417194000;0.0001267464
20000000;2;3852;3.1418506000;0.0002579464
20000000;2;3892;3.1406944000;-0.0008982536
20000000;2;3928;3.1414452000;-0.0001474536
20000000;2;4337;3.1414622000;-0.0001304536
20000000;2;4243;3.1417094000;0.0001167464
20000000;2;3812;3.1416092000;0.0000165464
20000000;2;5435;3.1417786000;0.0001859464
20000000;2;4091;3.1420594000;0.0004667464
20000000;2;4231;3.1420460000;0.0004533464
20000000;2;3995;3.1415480000;-0.0000446536
20000000;2;3832;3.1417352000;0.0001425464
20000000;2;3753;3.1419352000;0.0003425464
20000000;2;3813;3.1416202000;0.0000275464
20000000;2;3963;3.1413452000;-0.0002474536
30000000;3;7434;3.1418525333;0.0002598797
30000000;3;7689;3.1412186667;-0.0003739869
30000000;3;8255;3.1408884000;-0.0007042536
30000000;3;7263;3.1418322667;0.0002396131
30000000;3;7601;3.1421153333;0.0005226797
30000000;3;7686;3.1416978667;0.0001052131
30000000;3;6897;3.1411440000;-0.0004486536
30000000;3;7487;3.1416110667;0.0000184131
30000000;3;7851;3.1416909333;0.0000982797
30000000;3;7134;3.1413904000;-0.0002022536
30000000;3;6798;3.1414669333;-0.0001257203
30000000;3;7391;3.1413726667;-0.0002199869
30000000;3;6978;3.1414173333;-0.0001753203
30000000;3;6912;3.1417882667;0.0001956131
30000000;3;7709;3.1415564000;-0.0000362536
40000000;4;11188;3.1413306000;-0.0002620536
40000000;4;11030;3.1419901000;0.0003974464
40000000;4;10969;3.1417663000;0.0001736464
40000000;4;10466;3.1416615000;0.0000688464
40000000;4;11137;3.1420682000;0.0004755464
40000000;4;11023;3.1416346000;0.0000419464
40000000;4;10883;3.1415617000;-0.0000309536
40000000;4;11032;3.1412498000;-0.0003428536
40000000;4;10696;3.1416650000;0.0000723464
40000000;4;10853;3.1412920000;-0.0003006536
40000000;4;10984;3.1413273000;-0.0002653536
40000000;4;10855;3.1415518000;-0.0000408536
40000000;4;11204;3.1412455000;-0.0003471536
40000000;4;11391;3.1415811000;-0.0000115536
40000000;4;11217;3.1415461000;-0.0000465536
50000000;5;18579;3.1415092800;-0.0000833736
50000000;5;18855;3.1412182400;-0.0003744136
50000000;5;19348;3.1416271200;0.0000344664
50000000;5;20011;3.1412714400;-0.0003212136
50000000;5;18170;3.1412358400;-0.0003568136
50000000;5;18587;3.1415536000;-0.0000390536
50000000;5;18632;3.1411713600;-0.0004212936
50000000;5;18813;3.1412992000;-0.0002934536
50000000;5;18274;3.1416922400;0.0000995864
50000000;5;18763;3.1417503200;0.0001576664
50000000;5;17925;3.1413988000;-0.0001938536
50000000;5;15769;3.1417650400;0.0001723864
50000000;5;18776;3.1412493600;-0.0003432936
50000000;5;19273;3.1418233600;0.0002307064
50000000;5;21354;3.1417321600;0.0001395064
60000000;6;30875;3.1412382667;-0.0003543869
60000000;6;32715;3.1417129333;0.0001202797
60000000;6;31563;3.1415932000;0.0000005464
60000000;6;32537;3.1415762000;-0.0000164536
60000000;6;29845;3.1416119333;0.0000192797
60000000;6;33801;3.1416606000;0.0000679464
60000000;6;35446;3.1416235333;0.0000308797
60000000;6;33312;3.1415040667;-0.0000885869
60000000;6;32669;3.1414656667;-0.0001269869
60000000;6;33618;3.1413557333;-0.0002369203
60000000;6;36500;3.1419942000;0.0004015464
60000000;6;33180;3.1416555333;0.0000628797
60000000;6;36896;3.1412692000;-0.0003234536
60000000;6;36147;3.1419577333;0.0003650797
60000000;6;34550;3.1418135333;0.0002208797
70000000;7;45935;3.1419633714;0.0003707178
70000000;7;54052;3.1415841714;-0.0000084822
70000000;7;51558;3.1415694286;-0.0000232250
70000000;7;63825;3.1412952571;-0.0002973964
70000000;7;49724;3.1415802857;-0.0000123679
70000000;7;53476;3.1413175429;-0.0002751107
70000000;7;47034;3.1416216571;0.0000290036
70000000;7;48535;3.1418188000;0.0002261464
70000000;7;52934;3.1419335429;0.0003408893
70000000;7;53098;3.1415662286;-0.0000264250
70000000;7;52767;3.1414396000;-0.0001530536
70000000;7;41376;3.1413610857;-0.0002315679
70000000;7;51346;3.1414007429;-0.0001919107
70000000;7;57972;3.1421375429;0.0005448893
70000000;7;59006;3.1416538286;0.0000611750
80000000;8;75121;3.1416360500;0.0000433964
80000000;8;73187;3.1413870000;-0.0002056536
80000000;8;70763;3.1415766000;-0.0000160536
80000000;8;72624;3.1416970500;0.0001043964
80000000;8;70328;3.1413582500;-0.0002344036
80000000;8;79523;3.1415504000;-0.0000422536
80000000;8;71879;3.1417421000;0.0001494464
80000000;8;69319;3.1414052000;-0.0001874536
80000000;8;73633;3.1411539500;-0.0004387036
80000000;8;72122;3.1414229000;-0.0001697536
80000000;8;70788;3.1414384000;-0.0001542536
80000000;8;68256;3.1416087000;0.0000160464
80000000;8;74837;3.1418082500;0.0002155964
80000000;8;71625;3.1414147500;-0.0001779036
80000000;8;82364;3.1415061000;-0.0000865536
