totalIterations;numWorkers;Duree;Pi;Error
10000000;1;736;3.1425584000;0.0009657464
10000000;1;744;3.1419192000;0.0003265464
10000000;1;738;3.1410732000;-0.0005194536
10000000;1;757;3.1421536000;0.0005609464
10000000;1;748;3.1418344000;0.0002417464
10000000;1;737;3.1417220000;0.0001293464
10000000;1;747;3.1425468000;0.0009541464
10000000;1;746;3.1411528000;-0.0004398536
10000000;1;721;3.1413404000;-0.0002522536
10000000;1;732;3.1415068000;-0.0000858536
10000000;1;767;3.1416092000;0.0000165464
10000000;1;740;3.1412772000;-0.0003154536
10000000;1;739;3.1416084000;0.0000157464
10000000;1;760;3.1412780000;-0.0003146536
10000000;1;757;3.1410764000;-0.0005162536
10000000;2;1856;3.1415336000;-0.0000590536
10000000;2;1777;3.1418732000;0.0002805464
10000000;2;1754;3.1422584000;0.0006657464
10000000;2;1746;3.1409156000;-0.0006770536
10000000;2;1645;3.1421432000;0.0005505464
10000000;2;1707;3.1417208000;0.0001281464
10000000;2;1719;3.1421376000;0.0005449464
10000000;2;1644;3.1408020000;-0.0007906536
10000000;2;1675;3.1418192000;0.0002265464
10000000;2;1807;3.1419220000;0.0003293464
10000000;2;1600;3.1424580000;0.0008653464
10000000;2;1624;3.1422260000;0.0006333464
10000000;2;1622;3.1409728000;-0.0006198536
10000000;2;1696;3.1414460000;-0.0001466536
10000000;2;1608;3.1407196000;-0.0008730536
10000000;3;2060;3.1420840000;0.0004913464
10000000;3;2120;3.1404972000;-0.0010954536
10000000;3;2111;3.1421112000;0.0005185464
10000000;3;2350;3.1411624000;-0.0004302536
10000000;3;2134;3.1420772000;0.0004845464
10000000;3;2530;3.1421108000;0.0005181464
10000000;3;2925;3.1414016000;-0.0001910536
10000000;3;2316;3.1413952000;-0.0001974536
10000000;3;2571;3.1423688000;0.0007761464
10000000;3;2445;3.1411960000;-0.0003966536
10000000;3;2404;3.1422552000;0.0006625464
10000000;3;2249;3.1418812000;0.0002885464
10000000;3;2394;3.1416848000;0.0000921464
10000000;3;2445;3.1419492000;0.0003565464
10000000;3;2118;3.1416748000;0.0000821464
10000000;4;2731;3.1410188000;-0.0005738536
10000000;4;2734;3.1412752000;-0.0003174536
10000000;4;2738;3.1422884000;0.0006957464
10000000;4;2766;3.1416388000;0.0000461464
10000000;4;2727;3.1421668000;0.0005741464
10000000;4;2681;3.1413096000;-0.0002830536
10000000;4;2700;3.1414704000;-0.0001222536
10000000;4;2758;3.1418868000;0.0002941464
10000000;4;2683;3.1422328000;0.0006401464
10000000;4;2751;3.1416216000;0.0000289464
10000000;4;2702;3.1413412000;-0.0002514536
10000000;4;2746;3.1419396000;0.0003469464
10000000;4;2848;3.1413704000;-0.0002222536
10000000;4;2734;3.1423892000;0.0007965464
10000000;4;2747;3.1420208000;0.0004281464
10000000;5;3875;3.1419876000;0.0003949464
10000000;5;4186;3.1417360000;0.0001433464
10000000;5;3876;3.1421160000;0.0005233464
10000000;5;3851;3.1417736000;0.0001809464
10000000;5;3576;3.1423540000;0.0007613464
10000000;5;3743;3.1406756000;-0.0009170536
10000000;5;3483;3.1403332000;-0.0012594536
10000000;5;4066;3.1413628000;-0.0002298536
10000000;5;4202;3.1422672000;0.0006745464
10000000;5;3694;3.1416860000;0.0000933464
10000000;5;3759;3.1406240000;-0.0009686536
10000000;5;4050;3.1416440000;0.0000513464
10000000;5;3717;3.1420332000;0.0004405464
10000000;5;3569;3.1411992000;-0.0003934536
10000000;5;3507;3.1411396000;-0.0004530536
10000000;6;5465;3.1417532000;0.0001605464
10000000;6;5747;3.1413540000;-0.0002386536
10000000;6;5592;3.1412656000;-0.0003270536
10000000;6;5393;3.1411512000;-0.0004414536
10000000;6;6097;3.1410568000;-0.0005358536
10000000;6;5897;3.1413984000;-0.0001942536
10000000;6;6484;3.1416104000;0.0000177464
10000000;6;6066;3.1419916000;0.0003989464
10000000;6;6427;3.1417088000;0.0001161464
10000000;6;3988;3.1418628000;0.0002701464
10000000;6;6599;3.1416800000;0.0000873464
10000000;6;5738;3.1426772000;0.0010845464
10000000;6;5874;3.1418144000;0.0002217464
10000000;6;6040;3.1422360000;0.0006433464
10000000;6;5722;3.1422004000;0.0006077464
10000000;7;8025;3.1420176000;0.0004249464
10000000;7;8884;3.1413664000;-0.0002262536
10000000;7;7535;3.1417980000;0.0002053464
10000000;7;8466;3.1417676000;0.0001749464
10000000;7;8500;3.1423804000;0.0007877464
10000000;7;8761;3.1414904000;-0.0001022536
10000000;7;8215;3.1416200000;0.0000273464
10000000;7;8016;3.1412972000;-0.0002954536
10000000;7;8869;3.1418012000;0.0002085464
10000000;7;8061;3.1418476000;0.0002549464
10000000;7;7701;3.1415384000;-0.0000542536
10000000;7;7903;3.1416920000;0.0000993464
10000000;7;8105;3.1414276000;-0.0001650536
10000000;7;8190;3.1421036000;0.0005109464
10000000;7;7427;3.1421168000;0.0005241464
10000000;8;8652;3.1414556000;-0.0001370536
10000000;8;8659;3.1422116000;0.0006189464
10000000;8;7874;3.1416208000;0.0000281464
10000000;8;7787;3.1418568000;0.0002641464
10000000;8;9047;3.1430096000;0.0014169464
10000000;8;7954;3.1412000000;-0.0003926536
10000000;8;9001;3.1416644000;0.0000717464
10000000;8;8777;3.1411472000;-0.0004454536
10000000;8;9075;3.1418400000;0.0002473464
10000000;8;8104;3.1414664000;-0.0001262536
10000000;8;8687;3.1413720000;-0.0002206536
10000000;8;8109;3.1411872000;-0.0004054536
10000000;8;9424;3.1423764000;0.0007837464
10000000;8;8498;3.1418948000;0.0003021464
10000000;8;8973;3.1413076000;-0.0002850536
