totalIterations;numWorkers;Duree;Pi;Error
10000000;1;335;3.1413448000;0.0000788942
10000000;1;327;3.1422064000;0.0001953615
10000000;1;362;3.1422540000;0.0002105131
10000000;1;330;3.1420644000;0.0001501615
10000000;1;330;3.1420248000;0.0001375565
10000000;1;332;3.1412288000;0.0001158182
10000000;1;326;3.1411488000;0.0001412830
10000000;1;324;3.1421320000;0.0001716793
10000000;1;324;3.1410332000;0.0001780796
10000000;1;326;3.1431440000;0.0004938089
10000000;1;323;3.1413388000;0.0000808041
10000000;1;324;3.1419540000;0.0001150201
10000000;1;326;3.1420272000;0.0001383204
10000000;1;326;3.1414488000;0.0000457900
10000000;1;329;3.1416496000;0.0000181266
20000000;2;340;3.1409498000;0.0002046267
20000000;2;340;3.1421924000;0.0001909052
20000000;2;343;3.1406312000;0.0003060402
20000000;2;345;3.1412080000;0.0001224390
20000000;2;342;3.1410162000;0.0001834909
20000000;2;342;3.1415396000;0.0000168875
20000000;2;338;3.1416274000;0.0000110601
20000000;2;340;3.1414592000;0.0000424796
20000000;2;340;3.1415496000;0.0000137044
20000000;2;337;3.1416710000;0.0000249384
20000000;2;343;3.1420330000;0.0001401666
20000000;2;343;3.1420226000;0.0001368562
20000000;2;347;3.1420368000;0.0001413762
20000000;2;342;3.1410268000;0.0001801168
20000000;2;347;3.1409014000;0.0002200329
30000000;3;346;3.1420162667;0.0001348402
30000000;3;347;3.1418553333;0.0000836136
30000000;3;347;3.1421141333;0.0001659922
30000000;3;351;3.1413760000;0.0000689630
30000000;3;354;3.1412220000;0.0001179827
30000000;3;354;3.1410596000;0.0001696762
30000000;3;347;3.1420674667;0.0001511377
30000000;3;347;3.1417204000;0.0000406629
30000000;3;350;3.1413797333;0.0000677746
30000000;3;349;3.1413068000;0.0000909900
30000000;3;353;3.1422317333;0.0002034254
30000000;3;355;3.1423520000;0.0002417075
30000000;3;351;3.1416177333;0.0000079831
30000000;3;347;3.1421346667;0.0001725281
30000000;3;353;3.1411513333;0.0001404766
40000000;4;362;3.1415292000;0.0000201979
40000000;4;357;3.1418182000;0.0000717937
40000000;4;358;3.1412853000;0.0000978337
40000000;4;360;3.1415984000;0.0000018291
40000000;4;358;3.1416873000;0.0000301269
40000000;4;361;3.1417451000;0.0000485252
40000000;4;359;3.1416567000;0.0000203866
40000000;4;359;3.1412250000;0.0001170278
40000000;4;359;3.1412336000;0.0001142903
40000000;4;364;3.1414325000;0.0000509785
40000000;4;358;3.1413443000;0.0000790534
40000000;4;359;3.1412046000;0.0001235213
40000000;4;400;3.1416889000;0.0000306362
40000000;4;362;3.1418241000;0.0000736717
40000000;4;362;3.1416669000;0.0000236334
50000000;5;372;3.1418152800;0.0000708642
50000000;5;365;3.1419412800;0.0001109712
50000000;5;365;3.1414024000;0.0000605596
50000000;5;364;3.1417935200;0.0000639378
50000000;5;362;3.1415934400;0.0000002503
50000000;5;366;3.1419065600;0.0000999195
50000000;5;370;3.1413478400;0.0000779266
50000000;5;364;3.1417550400;0.0000516892
50000000;5;362;3.1416611200;0.0000217935
50000000;5;364;3.1414566400;0.0000432945
50000000;5;370;3.1417209600;0.0000408412
50000000;5;367;3.1417558400;0.0000519438
50000000;5;370;3.1417689600;0.0000561201
50000000;5;364;3.1417599200;0.0000532426
50000000;5;363;3.1417879200;0.0000621552
60000000;6;384;3.1418312000;0.0000759317
60000000;6;374;3.1417200667;0.0000405568
60000000;6;373;3.1416970667;0.0000332357
60000000;6;375;3.1415949333;0.0000007257
60000000;6;405;3.1416915333;0.0000314744
60000000;6;384;3.1414194667;0.0000551271
60000000;6;416;3.1416034667;0.0000034419
60000000;6;410;3.1420728000;0.0001528353
60000000;6;414;3.1417184000;0.0000400263
60000000;6;379;3.1414656667;0.0000404212
60000000;6;377;3.1418318667;0.0000761439
60000000;6;376;3.1413326000;0.0000827776
60000000;6;369;3.1419216000;0.0001047069
60000000;6;373;3.1417068000;0.0000363339
60000000;6;367;3.1414463333;0.0000465752
70000000;7;428;3.1415990286;0.0000020292
70000000;7;418;3.1415417714;0.0000161963
70000000;7;430;3.1415049143;0.0000279283
70000000;7;411;3.1418148000;0.0000707114
70000000;7;411;3.1414576000;0.0000429889
70000000;7;412;3.1417080571;0.0000367341
70000000;7;411;3.1414756571;0.0000372411
70000000;7;420;3.1416220571;0.0000093594
70000000;7;409;3.1417008000;0.0000344241
70000000;7;407;3.1417049143;0.0000357337
70000000;7;415;3.1418270857;0.0000746221
70000000;7;409;3.1410330286;0.0001781342
70000000;7;436;3.1415068571;0.0000273099
70000000;7;456;3.1418315429;0.0000760408
70000000;7;408;3.1414144000;0.0000567399
80000000;8;460;3.1417914500;0.0000632789
80000000;8;445;3.1415028000;0.0000286013
80000000;8;441;3.1417518500;0.0000506738
80000000;8;447;3.1418018500;0.0000665893
80000000;8;450;3.1416942000;0.0000323232
80000000;8;446;3.1417927000;0.0000636768
80000000;8;449;3.1415067000;0.0000273599
80000000;8;435;3.1414198000;0.0000550210
80000000;8;442;3.1416057000;0.0000041528
80000000;8;434;3.1417245000;0.0000419680
80000000;8;449;3.1414859000;0.0000339807
80000000;8;440;3.1414913500;0.0000322459
80000000;8;449;3.1416383000;0.0000145297
80000000;8;441;3.1415457000;0.0000149458
80000000;8;465;3.1415048000;0.0000279647
