totalIterations;numWorkers;Duree;Pi;Error
100000000;1;3319;3.1414348400;0.0000502336
100000000;1;3280;3.1415353200;0.0000182498
100000000;1;3270;3.1414568000;0.0000432435
100000000;1;3277;3.1420047600;0.0001311775
100000000;1;3243;3.1417674400;0.0000556362
100000000;1;3222;3.1416687600;0.0000242254
100000000;1;3222;3.1416304400;0.0000120278
100000000;1;3225;3.1414816400;0.0000353367
100000000;1;3217;3.1415034000;0.0000284103
100000000;1;3223;3.1413592000;0.0000743106
100000000;1;3236;3.1414884400;0.0000331722
100000000;1;3205;3.1416044400;0.0000037517
100000000;1;3220;3.1417751600;0.0000580936
100000000;1;3205;3.1414961600;0.0000307149
100000000;1;3216;3.1415160400;0.0000243869
100000000;2;1657;3.1416862800;0.0000298022
100000000;2;1658;3.1416198000;0.0000086410
100000000;2;1653;3.1416719600;0.0000252440
100000000;2;1667;3.1417278800;0.0000430439
100000000;2;1652;3.1415491200;0.0000138572
100000000;2;1657;3.1415720000;0.0000065742
100000000;2;1664;3.1415824800;0.0000032384
100000000;2;1649;3.1415214000;0.0000226807
100000000;2;1657;3.1414164800;0.0000560778
100000000;2;1657;3.1416838800;0.0000290383
100000000;2;1654;3.1416120000;0.0000061582
100000000;2;1652;3.1419925600;0.0001272942
100000000;2;1667;3.1416209600;0.0000090102
100000000;2;1647;3.1415570800;0.0000113234
100000000;2;1658;3.1413401600;0.0000803712
100000000;3;1133;3.1417386400;0.0000464689
100000000;3;1129;3.1415422400;0.0000160471
100000000;3;1129;3.1418473600;0.0000810756
100000000;3;1132;3.1414543200;0.0000440329
100000000;3;1135;3.1413050800;0.0000915375
100000000;3;1129;3.1415604400;0.0000102539
100000000;3;1129;3.1417006000;0.0000343604
100000000;3;1161;3.1415253600;0.0000214202
100000000;3;1127;3.1414029600;0.0000603813
100000000;3;1127;3.1415870000;0.0000017996
100000000;3;1135;3.1414864400;0.0000338088
100000000;3;1127;3.1417190000;0.0000402173
100000000;3;1141;3.1415493200;0.0000137935
100000000;3;1135;3.1415887200;0.0000012521
100000000;3;1130;3.1415588800;0.0000107505
100000000;4;862;3.1415036800;0.0000283212
100000000;4;854;3.1416429600;0.0000160130
100000000;4;863;3.1415494800;0.0000137426
100000000;4;888;3.1418482000;0.0000813429
100000000;4;865;3.1416026800;0.0000031915
100000000;4;866;3.1418120000;0.0000698201
100000000;4;856;3.1417667600;0.0000554198
100000000;4;874;3.1417214400;0.0000409940
100000000;4;858;3.1415816400;0.0000035057
100000000;4;865;3.1413655600;0.0000722861
100000000;4;866;3.1413562000;0.0000752655
100000000;4;863;3.1415134400;0.0000252145
100000000;4;860;3.1413961200;0.0000625586
100000000;4;868;3.1415078400;0.0000269970
100000000;4;865;3.1416328400;0.0000127917
100000000;5;700;3.1415938800;0.0000003904
100000000;5;706;3.1413678000;0.0000715731
100000000;5;699;3.1414773600;0.0000366991
100000000;5;700;3.1415243600;0.0000217385
100000000;5;707;3.1415530800;0.0000125967
100000000;5;721;3.1416886000;0.0000305407
100000000;5;702;3.1415116800;0.0000257747
100000000;5;728;3.1416540800;0.0000195526
100000000;5;699;3.1415509200;0.0000132842
100000000;5;708;3.1417668400;0.0000554453
100000000;5;727;3.1417052000;0.0000358246
100000000;5;697;3.1415394000;0.0000169511
100000000;5;699;3.1416957600;0.0000328198
100000000;5;740;3.1414668800;0.0000400350
100000000;5;704;3.1413388800;0.0000807786
100000000;6;613;3.1417115200;0.0000378364
100000000;6;618;3.1415353200;0.0000182498
100000000;6;675;3.1415819600;0.0000034039
100000000;6;603;3.1415016800;0.0000289578
100000000;6;647;3.1415097600;0.0000263858
100000000;6;619;3.1416535600;0.0000193871
100000000;6;608;3.1417708400;0.0000567185
100000000;6;602;3.1415372000;0.0000176514
100000000;6;604;3.1412288000;0.0001158182
100000000;6;620;3.1417843200;0.0000610093
100000000;6;606;3.1414467200;0.0000464521
100000000;6;597;3.1416623600;0.0000221882
100000000;6;636;3.1414342000;0.0000504373
100000000;6;604;3.1414134000;0.0000570582
100000000;6;637;3.1416420800;0.0000157329
100000000;7;629;3.1417034800;0.0000352771
100000000;7;606;3.1414478400;0.0000460956
100000000;7;597;3.1414868400;0.0000336815
100000000;7;778;3.1417501200;0.0000501231
100000000;7;620;3.1415998400;0.0000022875
100000000;7;581;3.1415936800;0.0000003267
100000000;7;577;3.1416432400;0.0000161022
100000000;7;637;3.1418979600;0.0000971820
100000000;7;820;3.1415843200;0.0000026527
100000000;7;824;3.1417134000;0.0000384348
100000000;7;721;3.1417434400;0.0000479968
100000000;7;660;3.1417604800;0.0000534208
100000000;7;679;3.1416226400;0.0000095450
100000000;7;589;3.1413844000;0.0000662892
100000000;7;560;3.1417632000;0.0000542866
100000000;8;740;3.1416990000;0.0000338511
100000000;8;654;3.1413771200;0.0000686065
100000000;8;660;3.1416172400;0.0000078261
100000000;8;715;3.1418894000;0.0000944573
100000000;8;741;3.1415716800;0.0000066761
100000000;8;675;3.1418487600;0.0000815212
100000000;8;726;3.1416321200;0.0000125625
100000000;8;628;3.1414243200;0.0000535822
100000000;8;611;3.1415387200;0.0000171676
100000000;8;602;3.1415391600;0.0000170275
100000000;8;700;3.1416665600;0.0000235251
100000000;8;647;3.1415809200;0.0000037349
100000000;8;652;3.1416344000;0.0000132883
100000000;8;651;3.1414729200;0.0000381124
100000000;8;848;3.1414478400;0.0000460956
