totalIterations;numWorkers;Duree;Pi;Error
10000000;1;332;3.1409856000;0.0001932312
10000000;1;337;3.1412980000;0.0000937912
10000000;1;344;3.1424576000;0.0002753210
10000000;1;337;3.1416680000;0.0000239835
10000000;1;334;3.1413744000;0.0000694723
10000000;1;406;3.1424476000;0.0002721379
10000000;1;324;3.1414848000;0.0000343309
10000000;1;325;3.1420048000;0.0001311903
10000000;1;341;3.1406860000;0.0002885968
10000000;1;325;3.1424272000;0.0002656444
10000000;1;325;3.1418856000;0.0000932477
10000000;1;325;3.1415264000;0.0000210892
10000000;1;329;3.1412876000;0.0000971016
10000000;1;333;3.1407356000;0.0002728086
10000000;1;327;3.1426540000;0.0003378371
10000000;2;172;3.1421280000;0.0001704061
10000000;2;172;3.1413944000;0.0000631061
10000000;2;168;3.1412492000;0.0001093247
10000000;2;175;3.1416088000;0.0000051396
10000000;2;172;3.1413216000;0.0000862790
10000000;2;170;3.1403536000;0.0003944030
10000000;2;172;3.1415364000;0.0000179061
10000000;2;170;3.1416888000;0.0000306044
10000000;2;170;3.1414948000;0.0000311478
10000000;2;171;3.1417768000;0.0000586156
10000000;2;173;3.1414152000;0.0000564852
10000000;2;178;3.1424260000;0.0002652624
10000000;2;169;3.1410784000;0.0001636920
10000000;2;170;3.1406464000;0.0003012019
10000000;2;174;3.1411084000;0.0001541427
10000000;3;118;3.1405392000;0.0003353247
10000000;3;117;3.1411884000;0.0001286779
10000000;3;117;3.1418848000;0.0000929931
10000000;3;135;3.1416716000;0.0000251294
10000000;3;117;3.1405640000;0.0003274306
10000000;3;117;3.1411656000;0.0001359354
10000000;3;118;3.1426512000;0.0003369458
10000000;3;119;3.1411352000;0.0001456120
10000000;3;118;3.1413132000;0.0000889528
10000000;3;119;3.1419888000;0.0001260973
10000000;3;118;3.1410000000;0.0001886475
10000000;3;117;3.1417040000;0.0000354427
10000000;3;118;3.1414524000;0.0000446441
10000000;3;117;3.1409544000;0.0002031624
10000000;3;117;3.1417060000;0.0000360793
10000000;4;91;3.1412524000;0.0001083061
10000000;4;98;3.1420940000;0.0001595835
10000000;4;92;3.1412156000;0.0001200199
10000000;4;90;3.1419796000;0.0001231689
10000000;4;90;3.1414328000;0.0000508830
10000000;4;89;3.1414872000;0.0000335669
10000000;4;90;3.1419028000;0.0000987227
10000000;4;90;3.1418052000;0.0000676556
10000000;4;90;3.1415216000;0.0000226171
10000000;4;99;3.1414108000;0.0000578858
10000000;4;90;3.1415844000;0.0000026272
10000000;4;136;3.1417344000;0.0000451193
10000000;4;91;3.1411468000;0.0001419196
10000000;4;91;3.1415400000;0.0000167602
10000000;4;90;3.1408228000;0.0002450520
10000000;5;75;3.1414208000;0.0000547027
10000000;5;76;3.1418440000;0.0000800060
10000000;5;78;3.1425848000;0.0003158100
10000000;5;84;3.1420120000;0.0001334821
10000000;5;76;3.1417880000;0.0000621807
10000000;5;78;3.1415948000;0.0000006832
10000000;5;75;3.1410204000;0.0001821540
10000000;5;86;3.1412032000;0.0001239669
10000000;5;76;3.1411624000;0.0001369540
10000000;5;74;3.1412104000;0.0001216751
10000000;5;74;3.1410220000;0.0001816447
10000000;5;101;3.1408800000;0.0002268447
10000000;5;84;3.1406788000;0.0002908886
10000000;5;79;3.1415064000;0.0000274554
10000000;5;95;3.1412300000;0.0001154362
10000000;6;76;3.1418260000;0.0000742765
10000000;6;72;3.1411508000;0.0001406464
10000000;6;71;3.1417152000;0.0000390077
10000000;6;108;3.1420044000;0.0001310630
10000000;6;80;3.1421040000;0.0001627666
10000000;6;69;3.1414592000;0.0000424796
10000000;6;67;3.1407220000;0.0002771376
10000000;6;82;3.1408724000;0.0002292638
10000000;6;70;3.1411268000;0.0001482858
10000000;6;85;3.1412344000;0.0001140357
10000000;6;85;3.1423048000;0.0002266832
10000000;6;76;3.1417136000;0.0000384984
10000000;6;69;3.1420864000;0.0001571644
10000000;6;71;3.1415848000;0.0000024999
10000000;6;70;3.1411692000;0.0001347895
10000000;7;72;3.1419652000;0.0001185852
10000000;7;107;3.1413552000;0.0000755838
10000000;7;82;3.1411620000;0.0001370813
10000000;7;78;3.1415836000;0.0000028818
10000000;7;76;3.1412508000;0.0001088154
10000000;7;90;3.1411204000;0.0001503230
10000000;7;80;3.1408136000;0.0002479805
10000000;7;79;3.1414996000;0.0000296199
10000000;7;74;3.1419876000;0.0001257153
10000000;7;67;3.1411696000;0.0001346621
10000000;7;66;3.1414376000;0.0000493551
10000000;7;81;3.1406840000;0.0002892334
10000000;7;72;3.1420988000;0.0001611114
10000000;7;74;3.1410908000;0.0001597450
10000000;7;78;3.1411760000;0.0001326250
10000000;8;75;3.1423764000;0.0002494742
10000000;8;77;3.1417984000;0.0000654911
10000000;8;84;3.1412280000;0.0001160728
10000000;8;77;3.1414852000;0.0000342035
10000000;8;86;3.1411884000;0.0001286779
10000000;8;80;3.1418900000;0.0000946483
10000000;8;74;3.1411096000;0.0001537607
10000000;8;90;3.1414240000;0.0000536841
10000000;8;79;3.1417312000;0.0000441007
10000000;8;88;3.1413292000;0.0000838599
10000000;8;83;3.1418824000;0.0000922291
10000000;8;77;3.1412668000;0.0001037224
10000000;8;87;3.1406708000;0.0002934351
10000000;8;85;3.1415948000;0.0000006832
10000000;8;87;3.1408280000;0.0002433968
